"matched_agency","year","OCC","staff","enforecement"
"Environmental Protection Agency",2021,"1301",2149,FALSE
"Environmental Protection Agency",2021,"0401",1612,FALSE
"Environmental Protection Agency",2021,"0028",1594,FALSE
"Environmental Protection Agency",2021,"0819",1519,FALSE
"Environmental Protection Agency",2021,"0343",1385,FALSE
"Environmental Protection Agency",2021,"0905",983,FALSE
"Environmental Protection Agency",2021,"2210",658,FALSE
"Environmental Protection Agency",2021,"0301",447,FALSE
"Environmental Protection Agency",2021,"1320",423,FALSE
"Environmental Protection Agency",2021,"1102",270,FALSE
"Environmental Protection Agency",2021,"0340",254,FALSE
"Environmental Protection Agency",2021,"0201",226,FALSE
"Environmental Protection Agency",2021,"1035",214,FALSE
"Environmental Protection Agency",2021,"1811",204,TRUE
"Environmental Protection Agency",2021,"0415",188,FALSE
"Environmental Protection Agency",2021,"0501",148,FALSE
"Environmental Protection Agency",2021,"0510",134,FALSE
"Environmental Protection Agency",2021,"1109",130,FALSE
"Environmental Protection Agency",2021,"0110",128,FALSE
"Environmental Protection Agency",2021,"0560",126,FALSE
"Environmental Protection Agency",2021,"0601",111,FALSE
"Environmental Protection Agency",2021,"0801",101,FALSE
"Environmental Protection Agency",2021,"0408",99,FALSE
"Environmental Protection Agency",2021,"0318",95,FALSE
"Environmental Protection Agency",2021,"0893",83,FALSE
"Environmental Protection Agency",2021,"0306",82,FALSE
"Environmental Protection Agency",2021,"0511",80,FALSE
"Environmental Protection Agency",2021,"0101",72,FALSE
"Environmental Protection Agency",2021,"0341",66,FALSE
"Environmental Protection Agency",2021,"0830",66,FALSE
"Environmental Protection Agency",2021,"1101",66,FALSE
"Environmental Protection Agency",2021,"0403",58,FALSE
"Environmental Protection Agency",2021,"0303",55,FALSE
"Environmental Protection Agency",2021,"0399",42,FALSE
"Environmental Protection Agency",2021,"1350",42,FALSE
"Environmental Protection Agency",2021,"0499",41,FALSE
"Environmental Protection Agency",2021,"0308",38,FALSE
"Environmental Protection Agency",2021,"1160",35,FALSE
"Environmental Protection Agency",2021,"1399",35,FALSE
"Environmental Protection Agency",2021,"0950",32,FALSE
"Environmental Protection Agency",2021,"0099",31,FALSE
"Environmental Protection Agency",2021,"0342",31,FALSE
"Environmental Protection Agency",2021,"0080",30,FALSE
"Environmental Protection Agency",2021,"1530",30,FALSE
"Environmental Protection Agency",2021,"0690",26,FALSE
"Environmental Protection Agency",2021,"1306",26,FALSE
"Environmental Protection Agency",2021,"0260",25,FALSE
"Environmental Protection Agency",2021,"1001",25,FALSE
"Environmental Protection Agency",2021,"1640",24,FALSE
"Environmental Protection Agency",2021,"1315",23,FALSE
"Environmental Protection Agency",2021,"0899",22,FALSE
"Environmental Protection Agency",2021,"1529",21,FALSE
"Environmental Protection Agency",2021,"0414",20,FALSE
"Environmental Protection Agency",2021,"0802",20,FALSE
"Environmental Protection Agency",2021,"0018",18,FALSE
"Environmental Protection Agency",2021,"1801",18,TRUE
"Environmental Protection Agency",2021,"1550",15,FALSE
"Environmental Protection Agency",2021,"1311",14,FALSE
"Environmental Protection Agency",2021,"1810",14,TRUE
"Environmental Protection Agency",2021,"1082",13,FALSE
"Environmental Protection Agency",2021,"2299",12,FALSE
"Environmental Protection Agency",2021,"0150",11,FALSE
"Environmental Protection Agency",2021,"0404",10,FALSE
"Environmental Protection Agency",2021,"0505",10,FALSE
"Environmental Protection Agency",2021,"0029",9,FALSE
"Environmental Protection Agency",2021,"0344",9,FALSE
"Environmental Protection Agency",2021,"0405",9,FALSE
"Environmental Protection Agency",2021,"0471",9,FALSE
"Environmental Protection Agency",2021,"0503",9,FALSE
"Environmental Protection Agency",2021,"0089",8,FALSE
"Environmental Protection Agency",2021,"0326",8,FALSE
"Environmental Protection Agency",2021,"0391",6,FALSE
"Environmental Protection Agency",2021,"0434",6,FALSE
"Environmental Protection Agency",2021,"0482",6,FALSE
"Environmental Protection Agency",2021,"0599",6,FALSE
"Environmental Protection Agency",2021,"0808",6,FALSE
"Environmental Protection Agency",2021,"1412",6,FALSE
"Environmental Protection Agency",2021,"0850",5,FALSE
"Environmental Protection Agency",2021,"0854",5,FALSE
"Environmental Protection Agency",2021,"1176",5,FALSE
"Environmental Protection Agency",2021,"1340",5,FALSE
"Environmental Protection Agency",2021,"0470",4,FALSE
"Environmental Protection Agency",2021,"0810",4,FALSE
"Environmental Protection Agency",2021,"1071",4,FALSE
"Environmental Protection Agency",2021,"2001",4,FALSE
"Environmental Protection Agency",2021,"0132",3,FALSE
"Environmental Protection Agency",2021,"0180",3,FALSE
"Environmental Protection Agency",2021,"0413",3,FALSE
"Environmental Protection Agency",2021,"0486",3,FALSE
"Environmental Protection Agency",2021,"0487",3,FALSE
"Environmental Protection Agency",2021,"0525",3,FALSE
"Environmental Protection Agency",2021,"0602",3,FALSE
"Environmental Protection Agency",2021,"0840",3,FALSE
"Environmental Protection Agency",2021,"0904",3,FALSE
"Environmental Protection Agency",2021,"1084",3,FALSE
"Environmental Protection Agency",2021,"1360",3,FALSE
"Environmental Protection Agency",2021,"1410",3,FALSE
"Environmental Protection Agency",2021,"1501",3,FALSE
"Environmental Protection Agency",2021,"1515",3,FALSE
"Environmental Protection Agency",2021,"****",2,FALSE
"Environmental Protection Agency",2021,"0184",2,FALSE
"Environmental Protection Agency",2021,"0190",2,FALSE
"Environmental Protection Agency",2021,"0299",2,FALSE
"Environmental Protection Agency",2021,"0305",2,FALSE
"Environmental Protection Agency",2021,"0610",2,FALSE
"Environmental Protection Agency",2021,"0701",2,FALSE
"Environmental Protection Agency",2021,"0804",2,FALSE
"Environmental Protection Agency",2021,"0858",2,FALSE
"Environmental Protection Agency",2021,"0901",2,FALSE
"Environmental Protection Agency",2021,"0935",2,FALSE
"Environmental Protection Agency",2021,"0999",2,FALSE
"Environmental Protection Agency",2021,"1060",2,FALSE
"Environmental Protection Agency",2021,"1083",2,FALSE
"Environmental Protection Agency",2021,"1310",2,FALSE
"Environmental Protection Agency",2021,"1316",2,FALSE
"Environmental Protection Agency",2021,"1654",2,FALSE
"Environmental Protection Agency",2021,"1701",2,FALSE
"Environmental Protection Agency",2021,"2010",2,FALSE
"Environmental Protection Agency",2021,"5703",2,FALSE
"Environmental Protection Agency",2021,"0203",1,FALSE
"Environmental Protection Agency",2021,"0360",1,FALSE
"Environmental Protection Agency",2021,"0410",1,FALSE
"Environmental Protection Agency",2021,"0430",1,FALSE
"Environmental Protection Agency",2021,"0435",1,FALSE
"Environmental Protection Agency",2021,"0440",1,FALSE
"Environmental Protection Agency",2021,"0561",1,FALSE
"Environmental Protection Agency",2021,"0803",1,FALSE
"Environmental Protection Agency",2021,"0856",1,FALSE
"Environmental Protection Agency",2021,"0890",1,FALSE
"Environmental Protection Agency",2021,"0963",1,FALSE
"Environmental Protection Agency",2021,"0986",1,FALSE
"Environmental Protection Agency",2021,"1099",1,FALSE
"Environmental Protection Agency",2021,"1103",1,FALSE
"Environmental Protection Agency",2021,"1106",1,FALSE
"Environmental Protection Agency",2021,"1170",1,FALSE
"Environmental Protection Agency",2021,"1222",1,FALSE
"Environmental Protection Agency",2021,"1370",1,FALSE
"Environmental Protection Agency",2021,"1520",1,FALSE
"Environmental Protection Agency",2021,"1670",1,FALSE
"Environmental Protection Agency",2021,"1702",1,FALSE
"Environmental Protection Agency",2021,"1750",1,FALSE
"Environmental Protection Agency",2021,"2005",1,FALSE
"Environmental Protection Agency",2021,"2101",1,FALSE
"Environmental Protection Agency",2021,"3502",1,FALSE
"Environmental Protection Agency",2021,"4714",1,FALSE
